站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220713154158,30.6,1009.1,2,291,6.5,1.2,10024.8
58102,20220713154158,7.1,1010.3,32,171,3.0,0.0,10037.1
58118,20220713154158,33.9,1006.5,72,6,11.3,0.3,10016.7
58122,20220713154158,28.7,1006.3,72,238,9.8,0.3,10400.5
58203,20220713154158,25.9,1019.5,75,68,12.4,0.7,10098.3
58215,20220713154158,2.5,1021.7,76,4,7.0,0.2,10180.7
58221,20220713154158,15.8,1000.1,32,20,4.8,0.7,10015.0
58225,20220713154158,19.8,1021.9,7,8,5.2,0.5,10027.1
58236,20220713154158,22.9,1012.0,9,342,4.2,1.4,10352.5
58311,20220713154158,17.0,1006.2,83,69,6.4,0.5,10170.6
58314,20220713154158,14.7,1016.5,22,8,7.4,1.3,10037.1
58319,20220713154158,25.4,1003.0,69,254,3.4,1.4,10091.4
58321,20220713154158,18.9,1020.8,5,272,9.8,1.2,10477.2
58326,20220713154158,23.8,1009.9,38,291,11.3,0.4,10090.5
58336,20220713154158,14.2,1013.4,48,145,4.5,0.4,10046.3
58338,20220713154158,32.4,1014.5,7,263,3.5,1.4,10364.2
58414,20220713154158,10.3,1026.3,17,139,5.4,0.1,10303.3
58419,20220713154158,31.7,1023.0,19,337,8.4,0.3,10098.0
58424,20220713154158,2.7,1023.0,83,268,0.5,0.9,10416.1
58429,20220713154158,6.0,1007.1,52,85,12.7,1.3,10101.7
58436,20220713154158,31.0,1020.4,51,216,13.4,0.7,10473.3
58437,20220713154158,20.0,1007.5,52,93,2.5,0.1,10312.4
58520,20220713154158,14.4,1015.4,100,351,5.2,0.9,10053.6
58531,20220713154158,7.3,1014.9,86,23,11.8,0.0,10429.6
54406,20220713154158,25.8,1007.8,9,91,8.2,0.3,10475.4
54416,20220713154158,15.9,1011.8,100,187,12.0,0.6,10454.6
54511,20220713154158,23.2,1017.1,91,149,4.7,1.0,10266.7
58725,20220713154158,28.2,1009.2,14,20,4.4,1.0,10041.5
58730,20220713154158,9.0,1008.4,12,301,3.7,0.8,10366.5
58731,20220713154158,7.8,1002.3,25,237,1.1,1.1,10344.6
58734,20220713154158,23.9,1018.3,97,118,9.6,1.5,10031.3
58737,20220713154158,2.6,1026.3,62,235,1.0,1.0,10088.5
58744,20220713154158,28.5,1018.6,32,328,6.7,0.2,10033.2
58754,20220713154158,19.8,1023.1,55,267,14.9,1.0,10261.5
58818,20220713154158,8.0,1018.8,14,65,7.8,0.2,10122.2
58820,20220713154158,8.7,1017.1,65,257,3.4,0.5,10448.5
58834,20220713154158,30.3,1003.3,21,353,3.1,1.5,10170.1
58837,20220713154158,11.2,1010.5,4,67,6.2,0.5,10314.0
58843,20220713154158,21.5,1018.9,5,116,14.2,0.9,10450.7
58846,20220713154158,13.9,1021.1,98,64,3.2,0.1,10117.1
58847,20220713154158,34.0,1009.0,79,5,9.5,0.2,10321.2
58911,20220713154158,30.1,1004.1,92,188,9.6,0.6,10330.7
58918,20220713154158,20.7,1022.0,75,16,14.4,0.6,10100.5
58921,20220713154158,26.6,1000.8,26,288,12.9,0.7,10273.2
58926,20220713154158,31.6,1006.1,71,62,7.9,0.0,10485.0
58927,20220713154158,31.8,1000.3,70,293,4.9,0.9,10385.1
58931,20220713154158,31.7,1007.6,22,100,1.7,1.5,10457.1
58933,20220713154158,27.0,1021.9,41,132,2.4,0.9,10183.4
58936,20220713154158,8.7,1025.0,70,329,12.9,0.7,10376.1
58944,20220713154158,15.1,1025.4,4,172,8.7,0.5,10014.9
59113,20220713154158,14.0,1012.3,72,257,14.9,0.4,10009.9
59126,20220713154158,26.3,1016.0,86,334,1.6,0.9,10460.6
