站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220713153958,20.5,1019.6,44,161,8.7,1.2,10214.7
58102,20220713153958,11.8,1019.0,66,95,10.2,0.7,10190.5
58118,20220713153958,28.6,1002.5,16,270,13.6,1.5,10485.2
58122,20220713153958,3.2,1020.5,4,105,13.2,0.5,10449.6
58203,20220713153958,12.2,1007.9,92,280,14.0,0.2,10278.5
58215,20220713153958,9.3,1021.3,18,263,0.3,0.6,10258.6
58221,20220713153958,7.3,1022.3,80,206,14.3,1.4,10400.7
58225,20220713153958,1.0,1010.5,98,238,14.5,1.2,10211.6
58236,20220713153958,11.3,1022.8,71,56,3.3,0.5,10368.1
58311,20220713153958,12.3,1016.7,31,107,7.7,0.4,10240.1
58314,20220713153958,19.4,1020.2,62,140,4.6,0.9,10450.7
58319,20220713153958,26.2,1008.4,56,243,0.1,0.0,10303.8
58321,20220713153958,20.1,1005.2,89,26,10.7,0.6,10310.4
58326,20220713153958,2.6,1011.1,64,328,12.8,1.3,10108.3
58336,20220713153958,16.0,1020.5,58,217,2.8,1.5,10496.8
58338,20220713153958,11.4,1008.9,17,97,10.5,1.5,10134.7
58414,20220713153958,0.2,1003.8,27,156,7.7,0.7,10264.3
58419,20220713153958,24.1,1019.7,30,295,10.3,0.4,10380.3
58424,20220713153958,19.0,1011.4,71,8,8.5,0.7,10186.2
58429,20220713153958,2.0,1024.3,8,179,6.4,0.7,10077.8
58436,20220713153958,11.1,1011.1,54,59,6.9,0.8,10251.1
58437,20220713153958,21.9,1019.9,22,353,7.6,1.4,10355.9
58520,20220713153958,19.0,1000.6,56,155,13.6,0.1,10216.8
58531,20220713153958,31.5,1020.7,35,198,0.3,1.3,10445.8
54406,20220713153958,24.4,1007.7,38,139,1.3,1.5,10190.3
54416,20220713153958,1.8,1002.3,58,273,12.4,1.1,10360.6
54511,20220713153958,35.0,1002.8,79,72,8.0,0.9,10025.3
58725,20220713153958,24.4,1019.8,57,271,11.3,1.4,10052.7
58730,20220713153958,24.8,1024.3,11,303,10.0,0.3,10268.5
58731,20220713153958,9.1,1016.2,46,53,11.5,0.7,10104.4
58734,20220713153958,2.7,1014.1,58,162,11.9,1.1,10019.3
58737,20220713153958,13.0,1002.9,79,39,12.9,1.4,10304.6
58744,20220713153958,15.2,1013.4,92,148,0.8,0.1,10199.5
58754,20220713153958,18.1,1015.3,20,108,9.5,0.8,10311.9
58818,20220713153958,13.1,1002.6,73,104,5.9,0.9,10358.2
58820,20220713153958,5.6,1012.9,78,348,8.5,0.3,10189.4
58834,20220713153958,7.7,1023.0,11,67,11.4,0.6,10056.8
58837,20220713153958,1.8,1000.2,13,207,6.2,0.3,10369.4
