站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220713154558,3.0,1000.8,85,164,0.6,0.0,10070.4
58102,20220713154558,10.7,1003.0,42,313,13.1,0.3,10117.9
58118,20220713154558,15.8,1012.8,42,256,8.5,0.5,10443.9
58122,20220713154558,10.9,1020.0,27,316,3.1,1.0,10087.9
58203,20220713154558,12.3,1019.9,71,304,0.4,0.2,10443.7
58215,20220713154558,23.5,1007.9,62,224,7.1,0.7,10353.8
58221,20220713154558,30.7,1003.3,13,68,5.3,0.9,10457.8
58225,20220713154558,15.0,1009.5,48,23,0.2,0.9,10090.4
58236,20220713154558,11.2,1024.5,73,170,2.6,0.6,10454.8
58311,20220713154558,13.2,1025.8,96,122,8.7,0.0,10070.9
58314,20220713154558,28.2,1013.3,37,263,3.1,0.4,10144.7
58319,20220713154558,13.9,1003.2,88,154,13.4,0.3,10358.3
58321,20220713154558,34.4,1024.8,62,13,7.0,1.3,10286.3
58326,20220713154558,32.4,1014.5,82,238,3.5,0.8,10234.1
58336,20220713154558,20.0,1018.2,88,273,0.0,0.7,10390.3
58338,20220713154558,18.0,1020.7,61,130,12.6,1.2,10002.8
58414,20220713154558,11.4,1015.5,68,269,4.5,0.4,10217.9
58419,20220713154558,7.4,1022.4,50,54,9.6,1.1,10358.7
58424,20220713154558,9.2,1025.9,15,283,4.6,0.1,10313.5
58429,20220713154558,26.4,1010.5,87,183,14.9,0.2,10147.5
58436,20220713154558,21.3,1012.8,3,309,3.3,0.5,10093.7
58437,20220713154558,6.7,1000.3,18,285,6.2,1.5,10075.9
58520,20220713154558,3.5,1026.0,5,341,1.1,1.4,10097.5
58531,20220713154558,23.2,1010.5,86,359,14.7,0.3,10131.3
54406,20220713154558,1.2,1023.7,100,277,12.0,1.4,10412.0
54416,20220713154558,10.7,1020.3,10,75,7.1,0.3,10169.3
54511,20220713154558,28.7,1002.1,44,275,14.6,0.4,10089.2
58725,20220713154558,7.9,1014.6,34,147,8.8,1.4,10198.2
58730,20220713154558,3.1,1021.2,21,185,6.4,0.0,10297.0
58731,20220713154558,16.1,1017.4,82,142,9.7,0.6,10419.0
58734,20220713154558,24.5,1014.4,14,8,11.5,1.3,10200.6
58737,20220713154558,28.3,1019.2,93,73,7.5,0.5,10130.3
58744,20220713154558,10.4,1020.9,20,241,3.8,1.5,10196.3
58754,20220713154558,31.3,1002.8,2,330,3.9,1.0,10409.8
58818,20220713154558,14.4,1019.5,67,110,14.4,1.2,10085.4
58820,20220713154558,16.1,1018.2,75,93,9.6,1.5,10233.8
58834,20220713154558,17.7,1007.9,40,155,9.0,0.2,10067.9
58837,20220713154558,14.0,1004.8,77,12,6.7,0.1,10481.4
58843,20220713154558,1.7,1014.5,61,197,13.5,0.2,10173.3
58846,20220713154558,28.0,1021.8,31,261,9.5,1.2,10208.4
58847,20220713154558,11.6,1011.5,66,175,2.0,1.2,10386.4
58911,20220713154558,25.4,1015.1,40,231,12.0,0.7,10394.5
58918,20220713154558,11.9,1009.5,51,127,5.7,1.0,10412.9
58921,20220713154558,6.4,1019.6,57,65,9.9,1.0,10102.0
58926,20220713154558,31.6,1024.3,87,340,11.8,1.1,10440.0
58927,20220713154558,25.9,1003.0,7,91,12.8,1.3,10153.8
58931,20220713154558,34.2,1012.0,70,351,1.0,0.0,10423.8
58933,20220713154558,18.1,1012.7,37,333,7.5,1.2,10038.0
58936,20220713154558,32.2,1009.6,58,62,2.4,0.7,10311.1
58944,20220713154558,21.8,1007.2,19,235,10.9,0.4,10028.5
59113,20220713154558,7.5,1016.8,33,200,3.8,0.5,10339.5
59126,20220713154558,1.6,1001.8,71,159,5.8,1.0,10143.1
59133,20220713154558,17.8,1003.8,72,210,13.4,0.0,10049.8
59134,20220713154558,12.3,1023.9,48,44,12.3,0.9,10084.1
59321,20220713154558,9.7,1023.0,30,71,6.8,1.3,10487.0
52323,20220713154558,6.6,1000.7,96,161,14.2,0.5,10199.5
52418,20220713154558,0.8,1014.6,66,176,3.1,0.8,10439.8
52424,20220713154558,23.5,1013.7,84,97,9.3,0.6,10021.7
52436,20220713154558,27.0,1001.4,26,50,14.4,1.0,10248.0
52446,20220713154558,29.7,1018.2,38,55,13.9,0.8,10145.6
52447,20220713154558,28.1,1007.9,71,324,7.7,0.7,10055.5
52533,20220713154558,30.9,1021.9,71,265,14.1,0.1,10300.3
52546,20220713154558,19.8,1000.0,89,142,13.6,0.5,10388.3
52652,20220713154558,33.1,1023.8,78,125,9.5,1.0,10490.5
52661,20220713154558,33.1,1013.6,10,350,14.8,1.5,10238.4
52674,20220713154558,28.2,1002.0,79,34,8.9,0.4,10327.6
52679,20220713154558,5.1,1018.9,67,58,4.1,1.4,10407.6
52681,20220713154558,4.9,1016.3,25,270,4.8,0.9,10481.1
52787,20220713154558,21.7,1006.8,29,332,11.6,0.5,10495.7
52797,20220713154558,16.8,1001.9,9,100,3.6,0.2,10406.8
52884,20220713154558,10.5,1013.4,90,219,9.5,0.7,10293.8
52895,20220713154558,23.5,1010.0,50,246,14.0,0.5,10439.6
52983,20220713154558,29.1,1006.8,85,85,4.6,0.8,10129.1
52984,20220713154558,16.4,1004.4,25,359,2.3,0.8,10454.9
52986,20220713154558,11.0,1019.3,50,258,11.2,1.1,10354.0
52996,20220713154558,0.9,1007.8,27,305,1.4,1.5,10145.2
53821,20220713154558,32.0,1015.7,42,35,3.0,0.5,10378.4
53915,20220713154558,24.0,1000.5,55,134,14.4,0.6,10305.0
53923,20220713154558,2.4,1014.2,50,150,3.5,1.0,10373.8
56074,20220713154558,15.0,1011.4,18,346,4.0,0.7,10015.4
56080,20220713154558,19.0,1018.5,65,312,2.2,0.9,10072.3
56093,20220713154558,12.5,1014.7,93,345,12.2,1.4,10480.3
56096,20220713154558,21.3,1016.6,10,327,3.9,1.4,10226.0
57014,20220713154558,24.8,1007.3,38,64,10.0,1.0,10476.6
57996,20220713154558,26.6,1002.2,35,6,1.9,0.2,10241.9
59072,20220713154558,24.3,1023.0,71,198,3.8,1.5,10339.4
59082,20220713154558,7.7,1023.1,68,343,8.8,1.2,10202.3
59087,20220713154558,11.0,1020.1,41,185,14.4,0.1,10031.2
59088,20220713154558,21.2,1023.6,13,46,13.5,0.2,10401.0
59096,20220713154558,4.1,1026.2,48,158,0.4,0.5,10122.1
59097,20220713154558,19.9,1006.7,85,97,4.4,0.3,10327.8
59107,20220713154558,10.6,1012.4,63,153,6.7,0.2,10067.8
59116,20220713154558,13.6,1003.6,53,268,7.2,0.0,10491.4
59117,20220713154558,1.5,1015.7,84,2,0.9,0.2,10478.5
59271,20220713154558,26.0,1005.2,62,250,8.2,0.1,10112.7
59278,20220713154558,28.5,1014.5,60,2,13.1,1.0,10054.9
59280,20220713154558,29.7,1003.8,98,72,6.4,0.9,10281.6
