站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220715193756,10.7,1013.7,76,245,1.3,0.9,10494.4
58102,20220715193756,6.1,1026.4,12,254,6.2,1.1,10413.2
58118,20220715193756,16.0,1000.5,54,118,8.2,0.9,10108.7
58122,20220715193756,4.0,1001.5,95,209,8.7,0.7,10102.7
58203,20220715193756,12.5,1024.4,5,356,5.8,0.7,10035.1
58215,20220715193756,5.9,1015.2,74,56,1.3,0.8,10267.1
58221,20220715193756,0.1,1015.2,12,27,8.7,0.8,10203.2
58225,20220715193756,2.3,1020.7,88,27,2.7,1.3,10042.1
58236,20220715193756,25.0,1023.0,13,150,10.1,0.4,10034.3
58311,20220715193756,20.7,1020.7,14,141,13.1,1.0,10291.6
58314,20220715193756,2.5,1010.0,60,152,6.7,0.6,10036.6
58319,20220715193756,14.3,1022.8,10,247,1.5,0.8,10004.7
58321,20220715193756,17.6,1021.0,56,21,0.5,0.3,10247.4
58326,20220715193756,29.5,1019.2,4,77,13.4,0.4,10200.1
58336,20220715193756,19.7,1006.1,40,103,13.1,0.3,10466.9
58338,20220715193756,31.3,1023.3,80,58,6.2,0.8,10455.1
58414,20220715193756,15.6,1002.9,5,134,6.6,0.3,10323.4
58419,20220715193756,7.4,1000.1,33,79,6.8,0.7,10153.7
58424,20220715193756,15.3,1025.8,48,303,0.9,1.5,10004.6
58429,20220715193756,11.2,1009.5,74,315,11.3,0.0,10323.0
58436,20220715193756,20.3,1011.2,92,27,12.7,0.3,10081.6
58437,20220715193756,31.9,1021.4,22,257,9.2,0.5,10205.5
58520,20220715193756,1.9,1017.3,46,197,4.3,1.3,10038.9
58531,20220715193756,3.3,1009.7,27,28,7.4,0.0,10068.3
54406,20220715193756,2.6,1011.9,50,77,9.7,1.3,10394.8
54416,20220715193756,15.3,1024.0,62,281,10.1,1.5,10393.1
54511,20220715193756,30.4,1002.1,88,106,12.7,0.0,10470.4
58725,20220715193756,18.9,1009.2,65,177,11.1,1.4,10093.2
58730,20220715193756,0.8,1019.4,74,305,5.1,0.2,10246.5
58731,20220715193756,32.9,1007.2,23,138,1.0,0.7,10007.4
58734,20220715193756,11.1,1025.6,91,245,5.5,0.9,10042.3
58737,20220715193756,14.6,1003.9,87,164,8.7,1.0,10158.8
58744,20220715193756,7.6,1012.0,12,256,3.9,0.8,10252.7
58754,20220715193756,6.4,1010.9,60,94,7.6,1.3,10276.7
58818,20220715193756,24.2,1017.6,73,138,13.5,0.2,10448.5
58820,20220715193756,10.9,1012.1,19,154,10.0,1.2,10250.3
58834,20220715193756,21.2,1018.2,65,100,0.4,0.8,10394.5
58837,20220715193756,12.8,1017.0,94,238,12.1,0.4,10189.8
58843,20220715193756,0.0,1025.5,6,96,10.1,0.9,10163.0
58846,20220715193756,18.6,1016.8,42,358,3.4,1.5,10016.8
58847,20220715193756,31.8,1008.8,36,126,12.7,0.3,10263.9
58911,20220715193756,30.5,1014.2,99,226,9.0,0.3,10188.6
58918,20220715193756,16.9,1023.3,50,221,8.0,1.0,10060.6
58921,20220715193756,12.2,1008.0,85,102,7.8,0.2,10328.1
58926,20220715193756,20.0,1012.1,58,230,0.9,1.2,10243.5
58927,20220715193756,9.7,1006.8,47,139,2.3,1.2,10217.8
58931,20220715193756,15.9,1002.2,63,166,3.2,1.1,10275.0
58933,20220715193756,21.1,1002.9,39,316,10.4,1.0,10433.7
58936,20220715193756,7.2,1021.9,23,218,9.6,1.1,10316.7
58944,20220715193756,4.8,1008.3,78,324,1.9,0.4,10096.7
59113,20220715193756,4.5,1020.7,62,49,6.0,0.4,10415.1
59126,20220715193756,7.4,1005.9,76,77,0.9,1.3,10061.2
59133,20220715193756,24.0,1021.5,24,212,14.4,0.9,10481.6
59134,20220715193756,9.0,1005.2,52,38,0.2,0.5,10266.4
59321,20220715193756,6.0,1010.7,10,85,2.9,0.7,10374.9
52323,20220715193756,20.4,1006.4,63,16,13.8,0.9,10489.6
52418,20220715193756,15.7,1020.5,99,245,4.7,0.1,10119.8
52424,20220715193756,31.2,1011.0,20,86,9.9,0.7,10182.8
52436,20220715193756,1.2,1022.2,31,63,6.1,0.7,10193.2
52446,20220715193756,13.6,1013.7,68,224,1.1,0.9,10442.2
52447,20220715193756,14.7,1021.4,66,131,2.6,0.3,10250.0
52533,20220715193756,25.0,1011.1,86,76,10.8,0.1,10272.4
52546,20220715193756,13.3,1006.3,39,10,8.0,0.4,10323.9
52652,20220715193756,13.3,1016.0,79,215,12.2,0.2,10259.9
52661,20220715193756,5.4,1009.7,92,208,14.6,0.4,10389.1
52674,20220715193756,6.5,1025.1,57,297,10.9,1.3,10061.5
52679,20220715193756,12.8,1003.3,21,88,2.6,0.7,10253.4
52681,20220715193756,5.9,1015.1,76,291,4.1,1.0,10387.9
52787,20220715193756,7.8,1007.2,59,222,7.9,0.2,10038.9
52797,20220715193756,30.2,1021.8,82,142,13.0,0.5,10002.1
52884,20220715193756,22.8,1014.8,19,59,3.1,1.4,10101.1
52895,20220715193756,12.4,1001.6,78,298,8.5,0.9,10279.5
52983,20220715193756,21.4,1006.1,58,274,1.3,1.1,10057.8
52984,20220715193756,21.2,1018.2,91,332,7.8,0.8,10361.9
52986,20220715193756,6.2,1019.6,80,11,14.4,0.9,10462.3
52996,20220715193756,11.1,1015.4,3,98,14.3,0.8,10050.1
53821,20220715193756,13.5,1017.2,27,286,4.8,0.3,10181.0
53915,20220715193756,31.9,1004.0,2,25,2.2,0.0,10276.7
53923,20220715193756,17.9,1016.6,6,322,2.9,1.2,10194.0
56074,20220715193756,32.2,1013.3,30,64,2.2,0.7,10287.2
56080,20220715193756,22.9,1020.8,51,175,10.0,0.1,10051.7
56093,20220715193756,26.0,1018.1,8,111,7.1,0.0,10370.2
56096,20220715193756,34.4,1019.2,48,208,7.0,0.8,10246.4
57014,20220715193756,9.5,1011.8,30,100,7.3,1.4,10404.4
57996,20220715193756,5.4,1000.1,31,95,10.7,1.2,10423.1
59072,20220715193756,21.7,1015.6,17,10,3.0,0.3,10382.6
59082,20220715193756,5.9,1000.9,43,149,3.8,0.9,10322.3
59087,20220715193756,7.3,1016.0,62,283,13.3,1.0,10375.9
59088,20220715193756,34.8,1000.2,32,196,9.3,0.9,10470.1
59096,20220715193756,25.7,1000.5,34,32,10.7,1.4,10033.6
59097,20220715193756,8.4,1004.5,96,170,5.9,0.6,10296.6
59107,20220715193756,23.3,1017.4,91,79,2.5,1.5,10225.0
59116,20220715193756,26.9,1014.5,70,357,9.7,1.2,10494.0
59117,20220715193756,13.1,1023.8,49,225,5.8,0.5,10379.4
59271,20220715193756,19.3,1015.5,80,106,1.1,1.4,10350.9
59278,20220715193756,28.1,1019.9,42,332,4.4,0.3,10170.5
59280,20220715193756,18.9,1017.1,58,339,13.3,1.4,10147.4
59287,20220715193756,5.1,1015.0,74,74,4.5,0.5,10357.5
59289,20220715193756,32.4,1022.5,29,335,4.0,1.5,10481.9
59293,20220715193756,20.8,1017.1,84,38,0.0,0.4,10276.4
59294,20220715193756,17.0,1019.9,87,195,4.7,1.1,10442.0
59298,20220715193756,0.3,1016.4,44,72,5.4,0.1,10204.9
59303,20220715193756,23.2,1020.2,11,286,4.7,1.0,10253.2
59304,20220715193756,11.0,1013.8,16,235,13.4,0.6,10369.9
59306,20220715193756,3.0,1009.1,77,201,13.7,0.2,10344.7
59310,20220715193756,19.6,1005.7,44,334,3.1,1.1,10475.4
59316,20220715193756,1.8,1004.3,70,88,0.0,1.5,10015.0
59317,20220715193756,32.2,1011.9,80,180,11.7,0.3,10088.3
59324,20220715193756,25.5,1012.4,62,70,7.6,1.3,10034.1
59456,20220715193756,28.6,1018.9,72,240,5.6,0.7,10300.8
59462,20220715193756,3.2,1007.4,98,248,1.4,0.6,10299.8
59478,20220715193756,28.4,1025.2,67,84,1.6,0.1,10175.9
59485,20220715193756,29.6,1017.9,45,189,4.4,0.9,10118.1
59488,20220715193756,9.7,1005.4,55,167,9.3,1.4,10255.9
59493,20220715193756,27.0,1026.3,59,93,4.9,0.3,10344.9
59501,20220715193756,28.2,1018.3,90,69,7.0,0.3,10307.6
59658,20220715193756,3.2,1024.5,3,182,14.9,0.2,10137.5
59663,20220715193756,20.8,1004.5,96,177,9.9,1.0,10334.8
59664,20220715193756,0.1,1023.3,97,56,12.3,1.4,10189.8
59673,20220715193756,3.1,1019.6,64,25,3.4,0.8,10192.7
59754,20220715193756,10.8,1013.2,61,213,6.7,1.1,10203.1
57947,20220715193756,3.3,1013.3,32,42,6.9,1.5,10055.2
57957,20220715193756,21.7,1006.9,37,345,5.9,0.5,10284.1
57958,20220715193756,30.0,1011.6,55,106,0.3,0.9,10438.9
59021,20220715193756,2.3,1022.4,10,96,8.6,0.2,10106.3
59023,20220715193756,4.0,1023.7,61,233,0.2,0.0,10472.2
59027,20220715193756,18.0,1007.1,68,254,5.2,0.3,10114.5
59037,20220715193756,19.3,1003.2,73,7,3.4,1.4,10459.8
59046,20220715193756,18.1,1023.6,49,328,7.0,1.3,10012.2
59058,20220715193756,5.8,1025.6,70,143,11.8,0.6,10169.9
59065,20220715193756,5.0,1002.4,25,266,4.7,0.3,10000.7
59209,20220715193756,4.8,1012.5,100,142,14.3,1.5,10242.1
59211,20220715193756,6.3,1010.0,67,116,9.8,1.0,10174.3
59218,20220715193756,17.4,1008.8,74,16,0.5,1.0,10279.1
59228,20220715193756,10.6,1021.2,80,138,14.8,1.1,10147.3
59242,20220715193756,27.9,1009.5,38,264,10.1,0.5,10137.9
59254,20220715193756,25.1,1004.7,20,15,1.4,0.1,10200.6
59265,20220715193756,31.6,1003.6,88,272,2.5,1.2,10031.9
59417,20220715193756,14.8,1011.3,52,317,7.7,1.5,10190.9
59431,20220715193756,8.8,1003.1,6,113,13.9,1.0,10060.4
59446,20220715193756,2.7,1009.6,29,258,9.4,1.2,10084.0
59453,20220715193756,6.0,1026.2,57,303,14.1,0.3,10233.9
59626,20220715193756,30.2,1016.1,17,270,1.1,0.7,10417.0
59631,20220715193756,26.3,1025.0,68,268,3.9,0.8,10287.8
59632,20220715193756,4.6,1023.7,13,80,9.8,0.8,10160.1
59644,20220715193756,9.1,1025.9,24,285,13.4,0.7,10365.4
59647,20220715193756,4.4,1004.1,84,103,3.2,1.1,10108.8
56691,20220715193756,0.5,1023.1,5,168,2.3,1.2,10035.8
56693,20220715193756,8.7,1006.6,51,52,1.5,1.0,10448.3
56792,20220715193756,26.2,1014.7,75,200,10.3,0.1,10028.1
56793,20220715193756,31.5,1005.5,46,332,5.7,1.3,10341.5
57606,20220715193756,33.0,1003.2,53,199,10.5,0.9,10022.9
57614,20220715193756,11.7,1021.6,36,303,2.9,1.4,10124.8
57625,20220715193756,9.6,1008.5,5,331,10.7,0.7,10295.8
57647,20220715193756,26.3,1024.0,90,20,1.1,0.2,10498.0
57707,20220715193756,8.4,1013.2,73,81,5.2,0.5,10259.0
57710,20220715193756,0.7,1000.9,80,248,11.7,1.1,10305.1
57712,20220715193756,8.3,1002.6,73,341,5.1,1.2,10091.8
57718,20220715193756,34.9,1004.7,77,144,8.8,1.3,10060.3
57722,20220715193756,3.1,1015.8,42,241,2.3,1.0,10053.8
57729,20220715193756,20.4,1022.3,36,74,2.7,0.2,10402.8
57731,20220715193756,18.1,1017.6,8,12,3.2,0.7,10175.0
57741,20220715193756,34.6,1010.2,39,189,11.7,0.6,10183.6
57803,20220715193756,20.6,1010.8,2,48,13.9,1.5,10191.3
57805,20220715193756,4.5,1003.4,16,49,0.2,0.6,10047.1
57806,20220715193756,21.0,1008.9,99,157,0.0,0.1,10272.8
57816,20220715193756,2.7,1008.6,56,101,9.6,1.4,10311.3
57825,20220715193756,34.2,1023.4,96,222,14.8,0.0,10148.9
57827,20220715193756,14.7,1013.9,64,253,0.0,1.0,10275.7
57832,20220715193756,9.5,1020.6,70,53,5.0,0.0,10229.3
57839,20220715193756,17.7,1014.0,33,285,1.2,0.7,10067.2
57840,20220715193756,33.0,1014.7,29,193,0.2,1.1,10089.8
57902,20220715193756,33.4,1006.7,78,301,6.3,1.2,10399.0
57906,20220715193756,26.5,1008.5,41,268,10.3,0.9,10345.2
57907,20220715193756,25.0,1017.7,17,338,10.3,0.0,10448.8
57910,20220715193756,34.1,1001.2,7,147,12.9,1.4,10492.4
57912,20220715193756,31.1,1007.2,96,265,13.4,0.8,10130.7
57916,20220715193756,11.1,1001.6,25,5,8.8,0.0,10371.6
57922,20220715193756,18.4,1008.4,41,299,0.3,0.8,10453.2
57926,20220715193756,16.7,1018.9,58,355,0.1,0.7,10405.7
57932,20220715193756,25.9,1000.4,55,254,1.1,0.5,10073.5
59758,20220715193756,6.8,1010.5,79,79,9.1,0.6,10029.4
59838,20220715193756,1.3,1011.9,51,206,4.5,1.0,10304.0
